data;cambio
2002/01;2.4175
2002/02;2.3474
2002/03;2.3228
2002/04;2.3617
2002/05;2.5212
2002/06;2.8436
2002/07;3.4277
2002/08;3.0215
2002/09;3.8941
2002/10;3.6442
2002/11;3.6357
2002/12;3.5325
2003/01;3.525
2003/02;3.5624
2003/03;3.3523
2003/04;2.889
2003/05;2.9648
2003/06;2.8712
2003/07;2.9647
2003/08;2.9657
2003/09;2.9226
2003/10;2.8554
2003/11;2.9486
2003/12;2.8884
2004/01;2.9401
2004/02;2.913
2004/03;2.9078
2004/04;2.9439
2004/05;3.1283
2004/06;3.1067
2004/07;3.026
2004/08;2.933
2004/09;2.8578
2004/10;2.8557
2004/11;2.7299
2004/12;2.6536
2005/01;2.624
2005/02;2.5942
2005/03;2.6654
2005/04;2.5305
2005/05;2.403
2005/06;2.3496
2005/07;2.3897
2005/08;2.3629
2005/09;2.2214
2005/10;2.2535
2005/11;2.2062
2005/12;2.3399
2006/01;2.2152
2006/02;2.1347
2006/03;2.1716
2006/04;2.0884
2006/05;2.2997
2006/06;2.1635
2006/07;2.1754
2006/08;2.138
2006/09;2.1734
2006/10;2.1422
2006/11;2.166
2006/12;2.1372
2007/01;2.1239
2007/02;2.1174
2007/03;2.0496
2007/04;2.0331
2007/05;1.9281
2007/06;1.9254
2007/07;1.8768
2007/08;1.9612
2007/09;1.8381
2007/10;1.7432
2007/11;1.7829
2007/12;1.7705
2008/01;1.7595
2008/02;1.6825
2008/03;1.7483
2008/04;1.6864
2008/05;1.6286
2008/06;1.5911
2008/07;1.5658
2008/08;1.6336
2008/09;1.9135
2008/10;2.1145
2008/11;2.3323
2008/12;2.3362
2009/01;2.3154
2009/02;2.3776
2009/03;2.3144
2009/04;2.1775
2009/05;1.9722
2009/06;1.9508
2009/07;1.8718
2009/08;1.8856
2009/09;1.7773
2009/10;1.7432
2009/11;1.7497
2009/12;1.7404
2010/01;1.874
2010/02;1.8102
2010/03;1.7802
2010/04;1.7298
2010/05;1.8159
2010/06;1.8007
2010/07;1.7564
2010/08;1.7552
2010/09;1.6934
2010/10;1.7006
2010/11;1.7153
2010/12;1.6654
2011/01;1.6726
2011/02;1.6604
2011/03;1.6279
2011/04;1.5725
2011/05;1.5791
2011/06;1.5603
2011/07;1.5555
2011/08;1.5864
2011/09;1.8536
2011/10;1.6878
2011/11;1.8102
2011/12;1.8751
2012/01;1.7385
2012/02;1.7086
2012/03;1.8215
2012/04;1.8912
2012/05;2.0217
2012/06;2.0207
2012/07;2.0494
2012/08;2.0366
2012/09;2.03
2012/10;2.0308
2012/11;2.1068
2012/12;2.0429
2013/01;1.9877
2013/02;1.9749
2013/03;2.0132
2013/04;2.0011
2013/05;2.1314
2013/06;2.215
2013/07;2.2897
2013/08;2.3719
2013/09;2.2294
2013/10;2.202
2013/11;2.3243
2013/12;2.342
2014/01;2.4257
2014/02;2.3327
2014/03;2.2624
2014/04;2.2354
2014/05;2.2384
2014/06;2.2019
2014/07;2.2668
2014/08;2.239
2014/09;2.4504
2014/10;2.4436
2014/11;2.5595
2014/12;2.6556
2015/01;2.6617
2015/02;2.8777
2015/03;3.2074
2015/04;2.993
2015/05;3.1781
2015/06;3.1019
2015/07;3.3934
2015/08;3.6461
2015/09;3.9722
2015/10;3.8582
2015/11;3.8499
2015/12;3.9042
2016/01;4.0422
2016/02;3.979
2016/03;3.5583
2016/04;3.4502
2016/05;3.5945
2016/06;3.2092
2016/07;3.2384
2016/08;3.2397
2016/09;3.2456
2016/10;3.1805
2016/11;3.3961
2016/12;3.2585
2017/01;3.1264
2017/02;3.0987
2017/03;3.1678
2017/04;3.1978
2017/05;3.2431
2017/06;3.3076
2017/07;3.1301
2017/08;3.1465
2017/09;3.1674
2017/10;3.2763
2017/11;3.261
2017/12;3.3074
2018/01;3.1618
2018/02;3.2443
2018/03;3.3232
2018/04;3.4805
2018/05;3.7364
2018/06;3.8552
2018/07;3.7543
2018/08;4.1347
2018/09;4.0033
2018/10;3.7171
2018/11;3.8627
2018/12;3.8742
2019/01;3.6513
2019/02;3.7379
2019/03;3.8961
2019/04;3.9447
2019/05;3.9401
2019/06;3.8316
2019/07;3.7643
2019/08;4.1379
2019/09;4.1638
2019/10;4.0035
2019/11;4.2234
2019/12;4.0301
2020/01;4.2689
2020/02;4.4981
2020/03;5.1981
2020/04;5.4264
2020/05;5.4257
2020/06;5.4754
2020/07;5.2027
2020/08;5.4707
2020/09;5.6401
2020/10;5.7712
2020/11;5.3311
2020/12;5.1961
2021/01;5.4753
2021/02;5.5296
2021/03;5.6967
2021/04;5.403
2021/05;5.2316
2021/06;5.0016
2021/07;5.121
2021/08;5.1427
2021/09;5.4388
2021/10;5.6424
2021/11;5.6193
2021/12;5.5799
2022/01;5.3568
2022/02;5.1388
2022/03;4.7372
2022/04;4.9185
2022/05;4.7283
2022/06;5.2374
2022/07;5.1878
2022/08;5.1784
2022/09;5.406
2022/10;5.2564
2022/11;5.2935
2022/12;5.2171
2023/01;5.0987
2023/02;5.2072
2023/03;5.0798
2023/04;5.0001
2023/05;5.0953
2023/06;4.8186
2023/07;4.7409
2023/08;4.9213
2023/09;5.007
2023/10;5.0569
2023/11;4.9349
2023/12;4.8407
2024/01;4.9529
2024/02;4.9827
2024/03;4.9956
2024/04;5.1712
2024/05;5.241
2024/06;5.5583
2024/07;5.6615
2024/08;5.6556
2024/09;5.4475
2024/10;5.7773
