date,pibinfl,igpdi,icbr,consap,pib,cambio,ipca,selic
2002/01,606314.2564,214.535,61.05,67.9887291102487,112374.8,2.4175,1822.08,1.53
2002/02,600373.7403,214.927,60.73,63.0816185207988,111477.1,2.3474,1828.64,1.25
2002/03,637178.2096,215.17,58.55,70.9763897052678,118444.7,2.3228,1839.61,1.37
2002/04,643128.6105,216.673,56.23,74.485755054809,120385.9,2.3617,1854.33,1.48
2002/05,652823.2784,219.07,60.35,72.3776052028075,123552.5,2.5212,1858.22,1.41
2002/06,641021.3835,222.872,66.65,67.1531843062043,123424.4,2.8436,1866.02,1.33
2002/07,645611.5837,227.441,75.86,75.168800333091,126856.6,3.4277,1888.23,1.54
2002/08,635391.8535,232.818,80.62,76.4168987585841,127800.1,3.0215,1900.5,1.44
2002/09,606131.2605,238.973,89.93,73.8763790206257,125137.8,3.8941,1914.18,1.38
2002/10,618750.1727,249.042,103.93,85.4327657937348,133125.4,3.6442,1939.26,1.65
2002/11,597099.6091,263.58,101.27,81.1787848464027,135966.6,3.6357,1997.83,1.54
2002/12,556929.1773,270.692,104.56,68.8658046102468,130241.2,3.5325,2039.78,1.74
2003/01,532254.8832,276.578,101.45,63.7395665048549,127177.5,3.525,2085.68,1.97
2003/02,541194.6729,280.984,109.05,61.6778371232457,131373.6,3.5624,2118.43,1.83
2003/03,562023.781,285.64,100.18,64.6653323021778,138690.5,3.3523,2144.49,1.78
2003/04,570608.1898,286.815,90.84,65.0181142250403,141388.1,2.889,2165.29,1.87
2003/05,567202.3418,284.9,87.33,69.8894023846946,139605.8,2.9648,2178.5,1.97
2003/06,564589.0023,282.913,83.96,65.6080119806745,137993.4,2.8712,2175.23,1.86
2003/07,598420.0583,282.349,85.02,69.8629443181304,145970.6,2.9647,2179.58,2.08
2003/08,590031.054,284.105,90.1,68.6652844309189,144819.4,2.9657,2186.99,1.77
2003/09,598995.9122,287.081,89.66,74.3808427812379,148559.8,2.9226,2204.05,1.68
2003/10,621943.1015,288.337,91.32,78.903680186929,154925.9,2.8554,2210.44,1.64
2003/11,613858.4807,289.718,94.54,72.343473951,153644.4,2.9486,2217.96,1.34
2003/12,610808.8921,291.462,97.29,63.0831555061602,153801.4,2.8884,2229.49,1.37
2004/01,569546.9002,293.793,93.51,62.8995287794226,144558.6,2.9401,2246.43,1.27
2004/02,556826.9508,296.976,97.12,59.6304914388759,142861.3,2.913,2260.13,1.08
2004/03,607683.7358,299.746,101.58,73.853604710486,157363.5,2.9078,2270.75,1.38
2004/04,599229.0177,303.184,103.32,68.729380436474,156953.9,2.9439,2279.15,1.18
2004/05,600172.0611,307.616,112.08,73.5170179380849,159498.9,3.1283,2290.77,1.23
2004/06,614252.1952,311.576,112.58,73.636653778119,165342.2,3.1067,2307.03,1.23
2004/07,629502.936,315.113,107.88,77.1521227946499,171370.9,3.026,2328.02,1.29
2004/08,613409.4411,319.244,106.13,77.8873614364764,169178.9,2.933,2344.08,1.29
2004/09,594304.5843,320.788,104.61,80.378094192751,164702.5,2.8578,2351.82,1.25
2004/10,612104.261,322.492,104.91,79.0071944559452,170536.5,2.8557,2362.17,1.21
2004/11,629834.6199,325.148,103.13,81.1880292576355,176921.5,2.7299,2378.47,1.25
2004/12,632044.755,326.833,101.43,71.3711030114472,178462.4,2.6536,2398.92,1.48
2005/01,577284.6085,327.915,101.11,67.4444816141459,163540.1,2.624,2412.83,1.38
2005/02,564980.2826,329.241,98.34,62.2977905843889,160701.6,2.5942,2427.07,1.22
2005/03,610868.9818,332.49,106.82,73.518526620913,175468.7,2.6654,2441.87,1.53
