data;icbr
2002/01;61.05
2002/02;60.73
2002/03;58.55
2002/04;56.23
2002/05;60.35
2002/06;66.65
2002/07;75.86
2002/08;80.62
2002/09;89.93
2002/10;103.93
2002/11;101.27
2002/12;104.56
2003/01;101.45
2003/02;109.05
2003/03;100.18
2003/04;90.84
2003/05;87.33
2003/06;83.96
2003/07;85.02
2003/08;90.10
2003/09;89.66
2003/10;91.32
2003/11;94.54
2003/12;97.29
2004/01;93.51
2004/02;97.12
2004/03;101.58
2004/04;103.32
2004/05;112.08
2004/06;112.58
2004/07;107.88
2004/08;106.13
2004/09;104.61
2004/10;104.91
2004/11;103.13
2004/12;101.43
2005/01;101.11
2005/02;98.34
2005/03;106.82
2005/04;99.86
2005/05;93.24
2005/06;90.22
2005/07;88.68
2005/08;90.46
2005/09;90.96
2005/10;93.09
2005/11;91.80
2005/12;100.00
2006/01;101.81
2006/02;97.57
2006/03;93.81
2006/04;95.29
2006/05;99.12
2006/06;99.63
2006/07;99.75
2006/08;97.05
2006/09;94.66
2006/10;95.76
2006/11;99.88
2006/12;100.81
2007/01;99.11
2007/02;98.79
2007/03;98.75
2007/04;95.87
2007/05;93.91
2007/06;92.03
2007/07;91.58
2007/08;93.84
2007/09;94.42
2007/10;92.96
2007/11;92.79
2007/12;93.82
2008/01;98.00
2008/02;103.45
2008/03;105.36
2008/04;105.34
2008/05;106.03
2008/06;107.75
2008/07;104.94
2008/08;97.28
2008/09;102.22
2008/10;102.97
2008/11;98.88
2008/12;97.98
2009/01;96.97
2009/02;93.49
2009/03;91.32
2009/04;90.71
2009/05;90.81
2009/06;87.34
2009/07;85.87
2009/08;86.52
2009/09;85.82
2009/10;86.38
2009/11;87.68
2009/12;91.77
2010/01;96.36
2010/02;96.70
2010/03;91.30
2010/04;90.12
2010/05;89.37
2010/06;87.96
2010/07;89.22
2010/08;93.76
2010/09;97.74
2010/10;102.18
2010/11;109.37
2010/12;114.05
2011/01;119.03
2011/02;125.67
2011/03;124.77
2011/04;120.59
2011/05;113.74
2011/06;111.36
2011/07;110.25
2011/08;111.02
2011/09;119.35
2011/10;115.74
2011/11;114.98
2011/12;113.62
2012/01;114.48
2012/02;111.70
2012/03;114.10
2012/04;113.80
2012/05;115.60
2012/06;115.24
2012/07;123.80
2012/08;124.72
2012/09;126.94
2012/10;125.61
2012/11;126.94
2012/12;128.75
2013/01;126.11
2013/02;122.00
2013/03;120.11
2013/04;118.01
2013/05;118.19
2013/06;124.03
2013/07;126.62
2013/08;131.71
2013/09;128.89
2013/10;125.28
2013/11;129.23
2013/12;132.85
2014/01;135.37
2014/02;140.49
2014/03;140.66
2014/04;136.79
2014/05;134.28
2014/06;133.55
2014/07;131.30
2014/08;129.87
2014/09;132.39
2014/10;139.28
2014/11;144.97
2014/12;144.54
2015/01;137.64
2015/02;143.96
2015/03;155.69
2015/04;151.96
2015/05;153.70
2015/06;155.07
2015/07;160.33
2015/08;168.00
2015/09;183.62
2015/10;185.03
2015/11;176.15
2015/12;178.15
2016/01;183.39
2016/02;180.54
2016/03;170.41
2016/04;164.72
2016/05;166.25
2016/06;166.98
2016/07;158.77
2016/08;155.61
2016/09;158.33
2016/10;158.07
2016/11;166.76
2016/12;170.31
2017/01;165.23
2017/02;159.60
2017/03;156.07
2017/04;156.15
2017/05;160.04
2017/06;159.74
2017/07;157.57
2017/08;154.23
2017/09;157.54
2017/10;162.52
2017/11;171.15
2017/12;169.65
2018/01;171.20
2018/02;171.78
2018/03;169.09
2018/04;175.83
2018/05;191.92
2018/06;197.93
2018/07;197.04
2018/08;198.68
2018/09;210.59
2018/10;197.73
2018/11;192.92
2018/12;193.73
2019/01;186.91
2019/02;187.38
2019/03;192.19
2019/04;195.13
2019/05;191.27
2019/06;181.86
2019/07;180.49
2019/08;180.99
2019/09;190.45
2019/10;194.65
2019/11;204.27
2019/12;205.54
2020/01;207.56
2020/02;206.62
2020/03;197.72
2020/04;200.81
2020/05;225.52
2020/06;214.57
2020/07;229.77
2020/08;251.34
2020/09;252.69
2020/10;266.69
2020/11;267.00
2020/12;263.38
2021/01;291.18
2021/02;311.65
2021/03;328.22
2021/04;332.20
2021/05;335.87
2021/06;323.94
2021/07;340.69
2021/08;352.27
2021/09;360.47
2021/10;401.15
2021/11;399.81
2021/12;396.96
2022/01;408.84
2022/02;405.63
2022/03;423.39
2022/04;418.63
2022/05;432.11
2022/06;428.02
2022/07;417.62
2022/08;414.63
2022/09;408.91
2022/10;394.52
2022/11;399.49
2022/12;390.76
2023/01;380.67
2023/02;374.72
2023/03;364.06
2023/04;362.44
2023/05;345.47
2023/06;342.80
2023/07;349.10
2023/08;359.08
2023/09;372.47
2023/10;376.14
2023/11;356.99
2023/12;342.77
2024/01;345.47
2024/02;360.19
2024/03;369.38
2024/04;391.02
2024/05;387.71
2024/06;409.07
2024/07;414.18
2024/08;404.63
2024/09;411.26
2024/10;430.22
