data;igpdi
2002/01;214.535
2002/02;214.927
2002/03;215.17
2002/04;216.673
2002/05;219.07
2002/06;222.872
2002/07;227.441
2002/08;232.818
2002/09;238.973
2002/10;249.042
2002/11;263.58
2002/12;270.692
2003/01;276.578
2003/02;280.984
2003/03;285.64
2003/04;286.815
2003/05;284.9
2003/06;282.913
2003/07;282.349
2003/08;284.105
2003/09;287.081
2003/10;288.337
2003/11;289.718
2003/12;291.462
2004/01;293.793
2004/02;296.976
2004/03;299.746
2004/04;303.184
2004/05;307.616
2004/06;311.576
2004/07;315.113
2004/08;319.244
2004/09;320.788
2004/10;322.492
2004/11;325.148
2004/12;326.833
2005/01;327.915
2005/02;329.241
2005/03;332.49
2005/04;334.17
2005/05;333.321
2005/06;331.823
2005/07;330.484
2005/08;327.887
2005/09;327.454
2005/10;329.529
2005/11;330.619
2005/12;330.835
2006/01;333.222
2006/02;333.03
2006/03;331.531
2006/04;331.607
2006/05;332.851
2006/06;335.067
2006/07;335.637
2006/08;337.011
2006/09;337.817
2006/10;340.541
2006/11;342.482
2006/12;343.384
2007/01;344.85
2007/02;345.652
2007/03;346.407
2007/04;346.878
2007/05;347.421
2007/06;348.328
2007/07;349.628
2007/08;354.495
2007/09;358.633
2007/10;361.308
2007/11;365.1
2007/12;370.485
2008/01;374.139
2008/02;375.558
2008/03;378.194
2008/04;382.414
2008/05;389.585
2008/06;396.954
2008/07;401.406
2008/08;399.87
2008/09;401.327
2008/10;405.707
2008/11;405.982
2008/12;404.185
2009/01;404.244
2009/02;403.737
2009/03;400.353
2009/04;400.53
2009/05;401.232
2009/06;399.966
2009/07;397.393
2009/08;397.758
2009/09;398.738
2009/10;398.575
2009/11;398.857
2009/12;398.407
2010/01;402.425
2010/02;406.826
2010/03;409.399
2010/04;412.341
2010/05;418.811
2010/06;420.241
2010/07;421.154
2010/08;425.788
2010/09;430.453
2010/10;434.882
2010/11;441.754
2010/12;443.427
2011/01;447.764
2011/02;452.047
2011/03;454.805
2011/04;457.059
2011/05;457.09
2011/06;456.49
2011/07;456.258
2011/08;459.055
2011/09;462.509
2011/10;464.349
2011/11;466.331
2011/12;465.586
2012/01;466.979
2012/02;467.308
2012/03;469.91
2012/04;474.683
2012/05;479.019
2012/06;482.311
2012/07;489.621
2012/08;495.949
2012/09;500.314
2012/10;498.739
2012/11;499.989
2012/12;503.283
2013/01;504.83
2013/02;505.832
2013/03;507.375
2013/04;507.087
2013/05;508.715
2013/06;512.598
2013/07;513.313
2013/08;515.688
2013/09;522.69
2013/10;525.966
2013/11;527.422
2013/12;531.056
2014/01;533.197
2014/02;537.703
2014/03;545.684
2014/04;548.145
2014/05;545.652
2014/06;542.194
2014/07;539.21
2014/08;539.55
2014/09;539.649
2014/10;542.853
2014/11;549.04
2014/12;551.149
2015/01;554.835
2015/02;557.803
2015/03;564.568
2015/04;569.738
2015/05;572.034
2015/06;575.938
2015/07;579.293
2015/08;581.618
2015/09;589.897
2015/10;600.269
2015/11;607.441
2015/12;610.128
2016/01;619.476
2016/02;624.366
2016/03;627.06
2016/04;629.345
2016/05;636.468
2016/06;646.868
2016/07;644.356
2016/08;647.153
2016/09;647.36
2016/10;648.213
2016/11;648.561
2016/12;653.951
2017/01;656.778
2017/02;657.191
2017/03;654.709
2017/04;646.573
2017/05;643.26
2017/06;637.079
2017/07;635.198
2017/08;636.714
2017/09;640.654
2017/10;641.279
2017/11;646.422
2017/12;651.214
2018/01;654.968
2018/02;655.975
2018/03;659.665
2018/04;665.77
2018/05;676.695
2018/06;686.696
2018/07;689.746
2018/08;694.414
2018/09;706.834
2018/10;708.694
2018/11;700.601
2018/12;697.446
2019/01;697.923
2019/02;706.66
2019/03;714.243
2019/04;720.695
2019/05;723.577
2019/06;728.142
2019/07;728.084
2019/08;724.395
2019/09;728.04
2019/10;732.041
2019/11;738.264
2019/12;751.121
2020/01;751.82
2020/02;751.91
2020/03;764.276
2020/04;764.656
2020/05;772.843
2020/06;785.221
2020/07;803.584
2020/08;834.713
2020/09;862.259
2020/10;893.997
2020/11;917.538
2020/12;924.504
2021/01;951.395
2021/02;977.133
2021/03;998.344
2021/04;1020.495
2021/05;1055.167
2021/06;1056.343
2021/07;1071.615
2021/08;1070.147
2021/09;1064.31
2021/10;1081.301
2021/11;1075.022
2021/12;1088.489
2022/01;1110.398
2022/02;1127.077
2022/03;1153.777
2022/04;1158.546
2022/05;1166.542
2022/06;1173.831
2022/07;1169.426
2022/08;1162.956
2022/09;1148.811
2022/10;1141.733
2022/11;1139.734
2022/12;1143.225
2023/01;1143.861
2023/02;1144.271
2023/03;1140.357
2023/04;1128.805
2023/05;1102.506
2023/06;1086.474
2023/07;1082.105
2023/08;1082.593
2023/09;1087.419
2023/10;1092.974
2023/11;1098.48
2023/12;1105.541
2024/01;1102.571
2024/02;1098.095
2024/03;1094.763
2024/04;1102.66
2024/05;1112.26
2024/06;1117.787
2024/07;1127.101
2024/08;1128.408
2024/09;1139.981
2024/10;1157.516
