Data;IPA-EP-DI - Todos os itens - Nro. Índice(1416651)
09/1994;101.789
10/1994;104.548
11/1994;106.824
12/1994;107.006
01/1995;107.941
02/1995;108.567
03/1995;109.741
04/1995;111.923
05/1995;109.652
06/1995;111.347
07/1995;113.846
08/1995;115.818
09/1995;113.011
10/1995;112.854
11/1995;114.540
12/1995;113.846
01/1996;115.334
02/1996;115.879
03/1996;115.798
04/1996;116.271
05/1996;117.825
06/1996;118.931
07/1996;120.568
08/1996;120.509
09/1996;121.003
10/1996;121.290
11/1996;121.584
12/1996;123.053
01/1997;125.104
02/1997;125.527
03/1997;127.519
04/1997;128.195
05/1997;128.369
06/1997;128.679
07/1997;128.560
08/1997;128.367
09/1997;129.549
10/1997;130.086
11/1997;131.488
12/1997;132.631
01/1998;133.632
02/1998;133.432
03/1998;133.601
04/1998;133.221
05/1998;133.398
06/1998;133.622
07/1998;132.813
08/1998;132.766
09/1998;132.850
10/1998;132.602
11/1998;132.334
12/1998;134.640
01/1999;136.770
02/1999;146.328
03/1999;150.491
04/1999;149.977
05/1999;148.748
06/1999;150.758
07/1999;153.821
08/1999;157.131
09/1999;160.744
10/1999;164.889
11/1999;170.810
12/1999;173.546
01/2000;175.315
02/2000;175.612
03/2000;175.517
04/2000;175.485
05/2000;176.704
06/2000;179.270
07/2000;184.267
08/2000;188.992
09/2000;191.047
10/2000;192.109
11/2000;192.832
12/2000;194.468
01/2001;195.246
02/2001;195.849
03/2001;197.834
04/2001;200.581
05/2001;200.943
06/2001;204.890
07/2001;208.836
08/2001;211.186
09/2001;212.197
10/2001;216.188
11/2001;217.758
12/2001;217.555
01/2002;217.269
02/2002;217.570
03/2002;217.334
04/2002;218.974
05/2002;221.750
06/2002;227.296
07/2002;233.700
08/2002;241.463
09/2002;250.731
10/2002;265.832
11/2002;285.638
12/2002;294.601
01/2003;301.102
02/2003;306.250
03/2003;312.159
04/2003;312.375
05/2003;307.132
06/2003;303.563
07/2003;301.764
08/2003;303.883
09/2003;307.798
10/2003;309.328
11/2003;310.739
12/2003;313.033
01/2004;315.395
02/2004;319.880
03/2004;323.361
04/2004;328.422
05/2004;334.023
06/2004;339.272
07/2004;343.845
08/2004;349.295
09/2004;351.572
10/2004;353.725
11/2004;357.258
12/2004;358.970
01/2005;359.240
02/2005;360.639
03/2005;364.748
04/2005;365.964
05/2005;362.360
06/2005;359.530
07/2005;357.056
08/2005;353.332
09/2005;352.351
10/2005;355.126
11/2005;355.994
12/2005;355.501
01/2006;358.367
02/2006;357.929
03/2006;355.012
04/2006;354.463
05/2006;356.085
06/2006;359.850
07/2006;360.449
08/2006;362.374
09/2006;363.378
10/2006;367.608
11/2006;370.369
12/2006;370.763
01/2007;371.955
02/2007;372.679
03/2007;373.080
04/2007;373.148
05/2007;373.017
06/2007;373.367
07/2007;374.942
08/2007;382.274
09/2007;388.534
10/2007;392.494
11/2007;398.199
12/2007;405.767
01/2008;410.155
02/2008;412.268
03/2008;415.578
04/2008;420.968
05/2008;430.321
06/2008;440.183
07/2008;445.830
08/2008;442.274
09/2008;444.219
10/2008;450.261
11/2008;449.491
12/2008;445.552
01/2009;444.092
02/2009;442.720
03/2009;436.270
04/2009;435.826
05/2009;435.402
06/2009;432.616
07/2009;427.583
08/2009;427.897
09/2009;429.123
10/2009;428.784
11/2009;428.618
12/2009;427.395
01/2010;431.491
02/2010;437.430
03/2010;439.724
04/2010;442.721
05/2010;451.834
06/2010;453.788
07/2010;455.339
08/2010;463.101
09/2010;469.923
10/2010;476.139
11/2010;485.575
12/2010;486.591
01/2011;491.267
02/2011;497.305
03/2011;500.302
04/2011;501.525
05/2011;498.378
06/2011;497.415
07/2011;496.749
08/2011;500.563
09/2011;505.283
10/2011;507.689
11/2011;509.429
12/2011;506.615
01/2012;506.682
02/2012;506.522
03/2012;509.305
04/2012;515.655
05/2012;520.323
06/2012;524.976
07/2012;536.160
08/2012;545.626
09/2012;551.656
10/2012;547.906
11/2012;548.807
12/2012;552.861
01/2013;552.871
02/2013;553.343
03/2013;554.025
04/2013;551.842
05/2013;551.891
06/2013;556.589
07/2013;557.688
08/2013;560.949
09/2013;571.609
10/2013;575.689
11/2013;576.381
12/2013;580.895
01/2014;581.564
02/2014;587.374
03/2014;598.601
04/2014;600.191
05/2014;592.921
06/2014;585.775
07/2014;579.838
08/2014;580.069
09/2014;579.010
10/2014;583.230
11/2014;591.654
12/2014;593.408
01/2015;594.744
02/2015;597.168
03/2015;604.559
04/2015;611.292
05/2015;612.433
06/2015;615.083
