data;pibinfl
2002/01;606314.2564
2002/02;600373.7403
2002/03;637178.2096
2002/04;643128.6105
2002/05;652823.2784
2002/06;641021.3835
2002/07;645611.5837
2002/08;635391.8535
2002/09;606131.2605
2002/10;618750.1727
2002/11;597099.6091
2002/12;556929.1773
2003/01;532254.8832
2003/02;541194.6729
2003/03;562023.781
2003/04;570608.1898
2003/05;567202.3418
2003/06;564589.0023
2003/07;598420.0583
2003/08;590031.054
2003/09;598995.9122
2003/10;621943.1015
2003/11;613858.4807
2003/12;610808.8921
2004/01;569546.9002
2004/02;556826.9508
2004/03;607683.7358
2004/04;599229.0177
2004/05;600172.0611
2004/06;614252.1952
2004/07;629502.936
2004/08;613409.4411
2004/09;594304.5843
2004/10;612104.261
2004/11;629834.6199
2004/12;632044.755
2005/01;577284.6085
2005/02;564980.2826
2005/03;610868.9818
2005/04;613722.1395
2005/05;616388.617
2005/06;630979.7019
2005/07;644715.7894
2005/08;661023.2655
2005/09;641721.223
2005/10;664531.3445
2005/11;681986.6688
2005/12;694436.1258
2006/01;644597.9708
2006/02;620352.5274
2006/03;664150.6023
2006/04;645872.6142
2006/05;688123.7197
2006/06;687709.9488
2006/07;713795.4981
2006/08;720652.1214
2006/09;688908.0253
2006/10;728320.2936
2006/11;742620.8592
2006/12;746181.9173
2007/01;708676.7097
2007/02;678813.4859
2007/03;727071.4309
2007/04;717874.9533
2007/05;754765.0944
2007/06;760943.6173
2007/07;774123.1736
2007/08;767396.9127
2007/09;719758.6204
2007/10;775096.9437
2007/11;767043.4648
2007/12;757524.7604
2008/01;733999.9538
2008/02;717149.6437
2008/03;741055.8258
2008/04;753065.5368
2008/05;757456.1155
2008/06;775045.8911
2008/07;801931.4772
2008/08;779364.5804
2008/09;765100.9235
2008/10;800354.1524
2008/11;771803.1641
2008/12;757209.6601
2009/01;715664.4674
2009/02;699619.463
2009/03;758029.8203
2009/04;750128.3406
2009/05;774089.1135
2009/06;797889.1961
2009/07;831434.4455
2009/08;827168.3055
2009/09;821992.887
2009/10;876746.7467
2009/11;885276.8455
2009/12;910896.7899
2010/01;831187.5245
2010/02;812949.9481
2010/03;881149.4738
2010/04;862039.1001
2010/05;873333.3862
2010/06;884229.5025
2010/07;913730.0269
2010/08;908601.1809
2010/09;890768.5725
2010/10;918182.6747
2010/11;934670.9675
2010/12;928768.8464
