data;selic
2002/01;1.53
2002/02;1.25
2002/03;1.37
2002/04;1.48
2002/05;1.41
2002/06;1.33
2002/07;1.54
2002/08;1.44
2002/09;1.38
2002/10;1.65
2002/11;1.54
2002/12;1.74
2003/01;1.97
2003/02;1.83
2003/03;1.78
2003/04;1.87
2003/05;1.97
2003/06;1.86
2003/07;2.08
2003/08;1.77
2003/09;1.68
2003/10;1.64
2003/11;1.34
2003/12;1.37
2004/01;1.27
2004/02;1.08
2004/03;1.38
2004/04;1.18
2004/05;1.23
2004/06;1.23
2004/07;1.29
2004/08;1.29
2004/09;1.25
2004/10;1.21
2004/11;1.25
2004/12;1.48
2005/01;1.38
2005/02;1.22
2005/03;1.53
2005/04;1.41
2005/05;1.5
2005/06;1.59
2005/07;1.51
2005/08;1.66
2005/09;1.5
2005/10;1.41
2005/11;1.38
2005/12;1.47
2006/01;1.43
2006/02;1.15
2006/03;1.42
2006/04;1.08
2006/05;1.28
2006/06;1.18
2006/07;1.17
2006/08;1.26
2006/09;1.06
2006/10;1.09
2006/11;1.02
2006/12;0.99
2007/01;1.08
2007/02;0.87
2007/03;1.05
2007/04;0.94
2007/05;1.03
2007/06;0.91
2007/07;0.97
2007/08;0.99
2007/09;0.8
2007/10;0.93
2007/11;0.84
2007/12;0.84
2008/01;0.93
2008/02;0.8
2008/03;0.84
2008/04;0.9
2008/05;0.88
2008/06;0.96
2008/07;1.07
2008/08;1.02
2008/09;1.1
2008/10;1.18
2008/11;1.02
2008/12;1.12
2009/01;1.05
2009/02;0.86
2009/03;0.97
2009/04;0.84
2009/05;0.77
2009/06;0.76
2009/07;0.79
2009/08;0.69
2009/09;0.69
2009/10;0.69
2009/11;0.66
2009/12;0.73
2010/01;0.66
2010/02;0.59
2010/03;0.76
2010/04;0.67
2010/05;0.75
2010/06;0.79
2010/07;0.86
2010/08;0.89
2010/09;0.85
2010/10;0.81
2010/11;0.81
2010/12;0.93
2011/01;0.86
2011/02;0.84
2011/03;0.92
2011/04;0.84
2011/05;0.99
2011/06;0.96
2011/07;0.97
2011/08;1.07
2011/09;0.94
2011/10;0.88
2011/11;0.86
2011/12;0.91
2012/01;0.89
2012/02;0.75
2012/03;0.82
2012/04;0.71
2012/05;0.74
2012/06;0.64
2012/07;0.68
2012/08;0.69
2012/09;0.54
2012/10;0.61
2012/11;0.55
2012/12;0.55
2013/01;0.6
2013/02;0.49
2013/03;0.55
2013/04;0.61
2013/05;0.6
2013/06;0.61
2013/07;0.72
2013/08;0.71
2013/09;0.71
2013/10;0.81
2013/11;0.72
2013/12;0.79
2014/01;0.85
2014/02;0.79
2014/03;0.77
2014/04;0.82
2014/05;0.87
2014/06;0.82
2014/07;0.95
2014/08;0.87
2014/09;0.91
2014/10;0.95
2014/11;0.84
2014/12;0.96
2015/01;0.94
2015/02;0.82
2015/03;1.04
2015/04;0.95
2015/05;0.99
2015/06;1.07
2015/07;1.18
2015/08;1.11
2015/09;1.11
2015/10;1.11
2015/11;1.06
2015/12;1.16
2016/01;1.06
2016/02;1
2016/03;1.16
2016/04;1.06
2016/05;1.11
2016/06;1.16
2016/07;1.11
2016/08;1.22
2016/09;1.11
2016/10;1.05
2016/11;1.04
2016/12;1.12
2017/01;1.09
2017/02;0.87
2017/03;1.05
2017/04;0.79
2017/05;0.93
2017/06;0.81
2017/07;0.8
2017/08;0.8
2017/09;0.64
2017/10;0.64
2017/11;0.57
2017/12;0.54
2018/01;0.58
2018/02;0.47
2018/03;0.53
2018/04;0.52
2018/05;0.52
2018/06;0.52
2018/07;0.54
2018/08;0.57
2018/09;0.47
2018/10;0.54
2018/11;0.49
2018/12;0.49
2019/01;0.54
2019/02;0.49
2019/03;0.47
2019/04;0.52
2019/05;0.54
2019/06;0.47
2019/07;0.57
2019/08;0.5
2019/09;0.46
2019/10;0.48
2019/11;0.38
2019/12;0.37
2020/01;0.38
2020/02;0.29
2020/03;0.34
2020/04;0.28
2020/05;0.24
2020/06;0.21
2020/07;0.19
2020/08;0.16
2020/09;0.16
2020/10;0.16
2020/11;0.15
2020/12;0.16
2021/01;0.15
2021/02;0.13
2021/03;0.2
2021/04;0.21
2021/05;0.27
2021/06;0.31
2021/07;0.36
2021/08;0.43
2021/09;0.44
2021/10;0.49
2021/11;0.59
2021/12;0.77
2022/01;0.73
2022/02;0.76
2022/03;0.93
2022/04;0.83
2022/05;1.03
2022/06;1.02
2022/07;1.03
2022/08;1.17
2022/09;1.07
2022/10;1.02
2022/11;1.02
2022/12;1.12
2023/01;1.12
2023/02;0.92
2023/03;1.17
2023/04;0.92
2023/05;1.12
2023/06;1.07
2023/07;1.07
2023/08;1.14
2023/09;0.97
2023/10;1
2023/11;0.92
2023/12;0.89
2024/01;0.97
2024/02;0.8
2024/03;0.83
2024/04;0.89
2024/05;0.83
2024/06;0.79
2024/07;0.91
2024/08;0.87
2024/09;0.84
2024/10;0.93
