date,rate
1996-01-01,0.973477273
1996-02-01,0.980078947
1996-03-01,0.985319048
1996-04-01,0.989314286
1996-05-01,0.994481818
1996-06-01,1.000531579
1996-07-01,1.006134783
1996-08-01,1.012613636
1996-09-01,1.018490476
1996-10-01,1.024313636
1996-11-01,1.029585
1996-12-01,1.036519048
1997-01-01,1.042068182
1997-02-01,1.048466667
1997-03-01,1.055852632
1997-04-01,1.0601
1997-05-01,1.06747
1997-06-01,1.073795238
1997-07-01,1.079852174
1997-08-01,1.087066667
1997-09-01,1.092790909
1997-10-01,1.099256522
1997-11-01,1.106515
1997-12-01,1.112777273
1998-01-01,1.119133333
1998-02-01,1.126322222
1998-03-01,1.1329
1998-04-01,1.140394737
1998-05-01,1.14733
1998-06-01,1.153771429
1998-07-01,1.160691304
1998-08-01,1.17092381
1998-09-01,1.180085714
1998-10-01,1.187566667
1998-11-01,1.19287
1998-12-01,1.20455
1999-01-01,1.501115
1999-02-01,1.912883333
1999-03-01,1.896021739
1999-04-01,1.693268421
1999-05-01,1.682714286
1999-06-01,1.764619048
1999-07-01,1.799513636
1999-08-01,1.87995
1999-09-01,1.897257143
1999-10-01,1.96871
1999-11-01,1.92909
1999-12-01,1.842030435
2000-01-01,1.80292381
2000-02-01,1.774490476
2000-03-01,1.741233333
2000-04-01,1.767368421
2000-05-01,1.827131818
2000-06-01,1.807528571
2000-07-01,1.79702381
2000-08-01,1.80843913
2000-09-01,1.83839
2000-10-01,1.878838095
2000-11-01,1.94721
2000-12-01,1.96245
2001-01-01,1.953709091
2001-02-01,2.001055556
2001-03-01,2.08825
2001-04-01,2.191655
2001-05-01,2.296431818
2001-06-01,2.375025
2001-07-01,2.465222727
2001-08-01,2.509830435
2001-09-01,2.670863158
2001-10-01,2.739372727
2001-11-01,2.542265
2001-12-01,2.3619
2002-01-01,2.377131818
2002-02-01,2.4188
2002-03-01,2.345845
2002-04-01,2.3196
2002-05-01,2.479561905
2002-06-01,2.713175
2002-07-01,2.933834783
2002-08-01,3.109309091
2002-09-01,3.340814286
2002-10-01,3.805130435
2002-11-01,3.5756
2002-12-01,3.625119048
2003-01-01,3.437554545
2003-02-01,3.589955
2003-03-01,3.446089474
2003-04-01,3.11787
2003-05-01,2.95492381
2003-06-01,2.882405
2003-07-01,2.879108696
2003-08-01,3.001742857
2003-09-01,2.921636364
2003-10-01,2.8607
2003-11-01,2.913
2003-12-01,2.924454545
2004-01-01,2.851033333
