date,ipa_ep_di
1996-01-01,115.334
1996-02-01,115.879
1996-03-01,115.798
1996-04-01,116.271
1996-05-01,117.825
1996-06-01,118.931
1996-07-01,120.568
1996-08-01,120.509
1996-09-01,121.003
1996-10-01,121.29
1996-11-01,121.584
1996-12-01,123.053
1997-01-01,125.104
1997-02-01,125.527
1997-03-01,127.519
1997-04-01,128.195
1997-05-01,128.369
1997-06-01,128.679
1997-07-01,128.56
1997-08-01,128.367
1997-09-01,129.549
1997-10-01,130.086
1997-11-01,131.488
1997-12-01,132.631
1998-01-01,133.632
1998-02-01,133.432
1998-03-01,133.601
1998-04-01,133.221
1998-05-01,133.398
1998-06-01,133.622
1998-07-01,132.813
1998-08-01,132.766
1998-09-01,132.85
1998-10-01,132.602
1998-11-01,132.334
1998-12-01,134.64
1999-01-01,136.77
1999-02-01,146.328
1999-03-01,150.491
1999-04-01,149.977
1999-05-01,148.748
1999-06-01,150.758
1999-07-01,153.821
1999-08-01,157.131
1999-09-01,160.744
1999-10-01,164.889
1999-11-01,170.81
1999-12-01,173.546
2000-01-01,175.315
2000-02-01,175.612
2000-03-01,175.517
2000-04-01,175.485
2000-05-01,176.704
2000-06-01,179.27
2000-07-01,184.267
2000-08-01,188.992
2000-09-01,191.047
2000-10-01,192.109
2000-11-01,192.832
2000-12-01,194.468
2001-01-01,195.246
2001-02-01,195.849
2001-03-01,197.834
2001-04-01,200.581
2001-05-01,200.943
2001-06-01,204.89
2001-07-01,208.836
2001-08-01,211.186
2001-09-01,212.197
2001-10-01,216.188
2001-11-01,217.758
2001-12-01,217.555
2002-01-01,217.269
2002-02-01,217.57
2002-03-01,217.334
2002-04-01,218.974
2002-05-01,221.75
2002-06-01,227.296
2002-07-01,233.7
2002-08-01,241.463
2002-09-01,250.731
2002-10-01,265.832
2002-11-01,285.638
2002-12-01,294.601
2003-01-01,301.102
2003-02-01,306.25
2003-03-01,312.159
2003-04-01,312.375
2003-05-01,307.132
2003-06-01,303.563
2003-07-01,301.764
2003-08-01,303.883
2003-09-01,307.798
2003-10-01,309.328
2003-11-01,310.739
2003-12-01,313.033
2004-01-01,315.395
2004-02-01,319.88
2004-03-01,323.361
2004-04-01,328.422
2004-05-01,334.023
2004-06-01,339.272
2004-07-01,343.845
2004-08-01,349.295
2004-09-01,351.572
2004-10-01,353.725
2004-11-01,357.258
2004-12-01,358.97
2005-01-01,359.24
2005-02-01,360.639
2005-03-01,364.748
2005-04-01,365.964
2005-05-01,362.36
2005-06-01,359.53
2005-07-01,357.056
2005-08-01,353.332
2005-09-01,352.351
2005-10-01,355.126
2005-11-01,355.994
2005-12-01,355.501
2006-01-01,358.367
2006-02-01,357.929
2006-03-01,355.012
2006-04-01,354.463
2006-05-01,356.085
2006-06-01,359.85
2006-07-01,360.449
2006-08-01,362.374
2006-09-01,363.378
2006-10-01,367.608
2006-11-01,370.369
2006-12-01,370.763
2007-01-01,371.955
2007-02-01,372.679
2007-03-01,373.08
2007-04-01,373.148
2007-05-01,373.017
2007-06-01,373.367
2007-07-01,374.942
2007-08-01,382.274
2007-09-01,388.534
2007-10-01,392.494
2007-11-01,398.199
2007-12-01,405.767
2008-01-01,410.155
2008-02-01,412.268
2008-03-01,415.578
2008-04-01,420.968
2008-05-01,430.321
2008-06-01,440.183
2008-07-01,445.83
2008-08-01,442.274
2008-09-01,444.219
2008-10-01,450.261
2008-11-01,449.491
2008-12-01,445.552
2009-01-01,444.092
2009-02-01,442.72
2009-03-01,436.27
2009-04-01,435.826
2009-05-01,435.402
2009-06-01,432.616
2009-07-01,427.583
2009-08-01,427.897
2009-09-01,429.123
2009-10-01,428.784
2009-11-01,428.618
2009-12-01,427.395
2010-01-01,431.491
2010-02-01,437.43
2010-03-01,439.724
2010-04-01,442.721
2010-05-01,451.834
2010-06-01,453.788
2010-07-01,455.339
2010-08-01,463.101
2010-09-01,469.923
2010-10-01,476.139
2010-11-01,485.575
2010-12-01,486.591
2011-01-01,491.267
2011-02-01,497.305
2011-03-01,500.302
2011-04-01,501.525
2011-05-01,498.378
2011-06-01,497.415
2011-07-01,496.749
2011-08-01,500.563
2011-09-01,505.283
2011-10-01,507.689
2011-11-01,509.429
2011-12-01,506.615
2012-01-01,506.682
2012-02-01,506.522
2012-03-01,509.305
2012-04-01,515.655
2012-05-01,520.323
2012-06-01,524.976
2012-07-01,536.16
2012-08-01,545.626
2012-09-01,551.656
2012-10-01,547.906
2012-11-01,548.807
2012-12-01,552.861
2013-01-01,552.871
2013-02-01,553.343
2013-03-01,554.025
2013-04-01,551.842
2013-05-01,551.891
2013-06-01,556.589
2013-07-01,557.688
2013-08-01,560.949
2013-09-01,571.609
2013-10-01,575.689
2013-11-01,576.381
2013-12-01,580.895
2014-01-01,581.564
2014-02-01,587.374
2014-03-01,598.601
2014-04-01,600.191
2014-05-01,592.921
2014-06-01,585.775
2014-07-01,579.838
2014-08-01,580.069
2014-09-01,579.01
2014-10-01,583.23
2014-11-01,591.654
2014-12-01,593.408
2015-01-01,594.744
2015-02-01,597.168
2015-03-01,604.559
2015-04-01,611.292
2015-05-01,612.433
2015-06-01,615.083
2015-07-01,618.84
2015-08-01,621.555
2015-09-01,634.113
2015-10-01,649.18
2015-11-01,658.328
2015-12-01,660.526
2016-01-01,671.262
2016-02-01,676.9
2016-03-01,679.429
2016-04-01,681.39
2016-05-01,691.536
2016-06-01,706.058
2016-07-01,700.358
2016-08-01,703.856
2016-09-01,703.646
2016-10-01,703.936
2016-11-01,703.889
2016-12-01,711.606
2017-01-01,714.02
2017-02-01,713.136
2017-03-01,707.554
2017-04-01,693.689
2017-05-01,686.044
2017-06-01,675.52
2017-07-01,671.013
2017-08-01,672.755
2017-09-01,679.306
2017-10-01,679.102
2017-11-01,686.333
2017-12-01,693.656
2018-01-01,697.677
2018-02-01,698.745
2018-03-01,704.131
2018-04-01,713.036
2018-05-01,729.825
2018-06-01,742.027
2018-07-01,745.887
2018-08-01,753.275
2018-09-01,772.436
2018-10-01,773.767
2018-11-01,760.599
2018-12-01,754.367
2019-01-01,752.945
2019-02-01,766.402
2019-03-01,776.783
2019-04-01,785.25
2019-05-01,789.371
2019-06-01,795.938
2019-07-01,794.214
2019-08-01,787.038
2019-09-01,792.508
2019-10-01,799.19
2019-11-01,808.097
2019-12-01,827.005
2020-01-01,825.952
2020-02-01,825.694
2020-03-01,844.96
2020-04-01,845.85
2020-05-01,860.827
2020-06-01,879.957
2020-07-01,907.577
2020-08-01,956.905
2020-09-01,998.786
2020-10-01,1047.327
2020-11-01,1081.963
2020-12-01,1089.291
2021-01-01,1132.015
