date,rate,ipa_ep_di,ipca,pib,pibdefl03,selic,metabcb
2002-01,2.377131818,217.269,0.52,112374.8,146912.7695,1.53,0.291666667
2002-02,2.4188,217.57,0.36,111477.1,145574.5758,1.25,0.291666667
2002-03,2.345845,217.334,0.6,118444.7,153600.4282,1.37,0.291666667
2002-04,2.3196,218.974,0.8,120385.9,154409.603,1.48,0.291666667
2002-05,2.479561905,221.75,0.21,123552.5,155767.7755,1.41,0.291666667
2002-06,2.713175,227.296,0.42,123424.4,152480.3426,1.33,0.291666667
2002-07,2.933834783,233.7,1.19,126856.6,153101.027,1.54,0.291666667
2002-08,3.109309091,241.463,0.65,127800.1,150267.1151,1.44,0.291666667
2002-09,3.340814286,250.731,0.72,125137.8,141187.9105,1.38,0.291666667
2002-10,3.805130435,265.832,1.31,133125.4,141915.5755,1.65,0.291666667
2002-11,3.5756,285.638,3.02,135966.6,141136.1959,1.54,0.291666667
2002-12,3.625119048,294.601,2.1,130241.2,132315.9953,1.74,0.291666667
2003-01,3.437554545,301.102,2.25,127177.5,127177.5,1.97,0.333333333
2003-02,3.589955,306.25,1.57,131373.6,129232.179,1.83,0.333333333
2003-03,3.446089474,312.159,1.23,138690.5,135870.8974,1.78,0.333333333
2003-04,3.11787,312.375,0.97,141388.1,139444.696,1.87,0.333333333
2003-05,2.95492381,307.132,0.61,139605.8,138653.9187,1.97,0.333333333
2003-06,2.882405,303.563,-0.15,137993.4,137326.2788,1.86,0.333333333
2003-07,2.879108696,301.764,0.2,145970.6,144367.0582,2.08,0.333333333
2003-08,3.001742857,303.883,0.34,144819.4,141743.7388,1.77,0.333333333
2003-09,2.921636364,307.798,0.78,148559.8,144771.3157,1.68,0.333333333
2003-10,2.8607,309.328,0.29,154925.9,150255.4176,1.64,0.333333333
2003-11,2.913,310.739,0.34,153644.4,148120.9149,1.34,0.333333333
2003-12,2.924454545,313.033,0.52,153801.4,147095.8552,1.37,0.333333333
2004-01,2.851033333,315.395,0.76,144558.6,136774.1961,1.27,0.458333333
2004-02,2.929511111,319.88,0.61,142861.3,133919.1833,1.08,0.458333333
2004-03,2.904656522,323.361,0.47,157363.5,145840.8943,1.38,0.458333333
2004-04,2.905225,328.422,0.37,156953.9,143365.5422,1.18,0.458333333
2004-05,3.099619048,334.023,0.51,159498.9,143838.5464,1.23,0.458333333
2004-06,3.128347619,339.272,0.71,165342.2,147434.4528,1.23,0.458333333
2004-07,3.035972727,343.845,0.91,171370.9,150832.8456,1.29,0.458333333
2004-08,3.002113636,349.295,0.69,169178.9,148186.8525,1.29,0.458333333
2004-09,2.890347619,351.572,0.33,164702.5,143503.6133,1.25,0.458333333
2004-10,2.852055,353.725,0.44,170536.5,147372.9745,1.21,0.458333333
2004-11,2.78525,357.258,0.69,176921.5,152102.4828,1.25,0.458333333
2004-12,2.71736087,358.97,0.86,178462.4,152920.9673,1.48,0.458333333
2005-01,2.691247619,359.24,0.58,163540.1,139569.9547,1.38,0.375
2005-02,2.597038889,360.639,0.59,160701.6,135807.3277,1.22,0.375
2005-03,2.703977273,364.748,0.61,175468.7,147541.3628,1.53,0.375
2005-04,2.57838,365.964,0.87,177179.0,149358.9187,1.41,0.375
2005-05,2.452952381,362.36,0.49,177496.7,150302.2176,1.5,0.375
2005-06,2.412718182,359.53,-0.02,180881.8,153789.2657,1.59,0.375
2005-07,2.372709524,357.056,0.25,184073.7,157742.6507,1.51,0.375
2005-08,2.359795652,353.332,0.17,187246.6,160673.8615,1.66,0.375
2005-09,2.293609524,352.351,0.35,181538.9,154795.2571,1.5,0.375
2005-10,2.25565,355.126,0.75,189183.0,160781.4314,1.41,0.375
2005-11,2.210035,355.994,0.55,194794.5,165442.4042,1.38,0.375
2005-12,2.284681818,355.501,0.36,198480.0,167365.0129,1.47,0.375
2006-01,2.273068182,358.367,0.59,185564.8,156564.6932,1.43,0.375
2006-02,2.161122222,357.929,0.41,178482.2,151269.8435,1.15,0.375
2006-03,2.15116087,355.012,0.43,190223.3,161183.8825,1.42,0.375
2006-04,2.128544444,354.463,0.21,185030.6,156197.9327,1.08,0.375
2006-05,2.1773,356.085,0.1,197874.3,165935.5064,1.28,0.375
2006-06,2.247490476,359.85,-0.21,199071.9,166656.2946,1.18,0.375
2006-07,2.188480952,360.449,0.19,206974.4,172565.5685,1.17,0.375
2006-08,2.155082609,362.374,0.05,209818.0,174519.047,1.26,0.375
2006-09,2.167945,363.378,0.21,201055.4,165892.9483,1.06,0.375
2006-10,2.147447619,367.608,0.33,214271.7,175795.8648,1.09,0.375
2006-11,2.1571,370.369,0.31,219724.2,179795.7523,1.02,0.375
2006-12,2.148626316,370.763,0.48,221359.3,180363.6989,0.99,0.375
2007-01,2.138131818,371.955,0.44,211130.7,171630.2773,1.08,0.375
2007-02,2.09545,372.679,0.44,202704.1,164421.0678,0.87,0.375
2007-03,2.087877273,373.08,0.37,217588.9,176255.0507,1.05,0.375
2007-04,2.031235,373.148,0.25,215128.8,173989.9164,0.94,0.375
2007-05,1.980813636,373.017,0.28,226537.9,182740.1911,1.03,0.375
2007-06,1.931125,373.367,0.28,228988.6,184030.263,0.91,0.375
2007-07,1.882018182,374.942,0.24,233824.1,185336.4107,0.97,0.375
2007-08,1.965213043,382.274,0.47,235019.1,184134.2174,0.99,0.375
2007-09,1.898778947,388.534,0.18,223002.7,173425.9708,0.8,0.375
2007-10,1.800240909,392.494,0.3,241939.4,186198.5767,0.93,0.375
2007-11,1.769125,398.199,0.38,241938.4,183491.4217,0.84,0.375
2007-12,1.785185,405.767,0.74,242460.2,182091.2464,0.84,0.375
2008-01,1.773459091,410.155,0.54,237247.7,177503.3623,0.93,0.375
2008-02,1.726942105,412.268,0.49,232680.4,172872.8365,0.8,0.375
2008-03,1.70678,415.578,0.48,242124.4,177904.2671,0.84,0.375
2008-04,1.688128571,420.968,0.55,248793.8,179439.8581,0.9,0.375
2008-05,1.659735,430.321,0.79,254936.9,180457.156,0.88,0.375
2008-06,1.618252381,440.183,0.74,265791.2,186053.7076,0.96,0.375
2008-07,1.590613043,445.83,0.53,278095.6,195414.5449,1.07,0.375
2008-08,1.611514286,442.274,0.28,269235.6,188501.8846,1.02,0.375
2008-09,1.798768182,444.219,0.26,265271.2,183721.1654,1.1,0.375
2008-10,2.172052174,450.261,0.45,280522.5,194152.2879,1.18,0.375
2008-11,2.26549,449.491,0.36,270698.8,188186.1811,1.02,0.375
2008-12,2.39706,445.552,0.28,264404.8,183783.8492,1.12,0.375
2009-01,2.306642857,444.092,0.48,249934.4,173943.8482,1.05,0.375
