date,pib
1996-01-01,64133.30
1996-02-01,62202.20
1996-03-01,62987.80
1996-04-01,64019.10
1996-05-01,69488.70
1996-06-01,71103.00
1996-07-01,74969.90
1996-08-01,74798.80
1996-09-01,71744.60
1996-10-01,77200.10
1996-11-01,80449.10
1996-12-01,81667.10
1997-01-01,77582.60
1997-02-01,71072.80
1997-03-01,70461.60
1997-04-01,73576.40
1997-05-01,78110.80
1997-06-01,81202.40
1997-07-01,82058.70
1997-08-01,82132.50
1997-09-01,81987.30
1997-10-01,87297.20
1997-11-01,85390.10
1997-12-01,81216.80
1998-01-01,79363.90
1998-02-01,75828.10
1998-03-01,80508.70
1998-04-01,81166.10
1998-05-01,85207.50
1998-06-01,85562.40
1998-07-01,86938.50
1998-08-01,86371.30
1998-09-01,84733.50
1998-10-01,87302.80
1998-11-01,86316.50
1998-12-01,83051.80
1999-01-01,80936.30
1999-02-01,80929.10
1999-03-01,88802.60
1999-04-01,87739.00
1999-05-01,89223.00
1999-06-01,91746.90
1999-07-01,91230.40
1999-08-01,92283.40
1999-09-01,90611.80
1999-10-01,95872.40
1999-11-01,99563.10
1999-12-01,98772.50
2000-01-01,92576.60
2000-02-01,91770.40
2000-03-01,92579.90
2000-04-01,91376.20
2000-05-01,98727.00
2000-06-01,102685.40
2000-07-01,103410.40
2000-08-01,105177.80
2000-09-01,100307.60
2000-10-01,106951.10
2000-11-01,107678.00
2000-12-01,105851.60
2001-01-01,102530.70
2001-02-01,101635.30
2001-03-01,108303.80
2001-04-01,107572.00
2001-05-01,111202.20
2001-06-01,104949.40
2001-07-01,110758.90
2001-08-01,113064.70
2001-09-01,108700.80
2001-10-01,116139.00
2001-11-01,117882.00
2001-12-01,113016.70
2002-01-01,112374.80
2002-02-01,111477.10
2002-03-01,118444.70
2002-04-01,120385.90
2002-05-01,123552.50
2002-06-01,123424.40
2002-07-01,126856.60
2002-08-01,127800.10
2002-09-01,125137.80
2002-10-01,133125.40
2002-11-01,135966.60
2002-12-01,130241.20
2003-01-01,127177.50
2003-02-01,131373.60
2003-03-01,138690.50
2003-04-01,141388.10
2003-05-01,139605.80
2003-06-01,137993.40
2003-07-01,145970.60
2003-08-01,144819.40
2003-09-01,148559.80
2003-10-01,154925.90
2003-11-01,153644.40
2003-12-01,153801.40
2004-01-01,144558.60
2004-02-01,142861.30
2004-03-01,157363.50
2004-04-01,156953.90
2004-05-01,159498.90
2004-06-01,165342.20
2004-07-01,171370.90
2004-08-01,169178.90
2004-09-01,164702.50
2004-10-01,170536.50
2004-11-01,176921.50
2004-12-01,178462.40
2005-01-01,163540.10
2005-02-01,160701.60
2005-03-01,175468.70
2005-04-01,177179.00
2005-05-01,177496.70
2005-06-01,180881.80
2005-07-01,184073.70
2005-08-01,187246.60
2005-09-01,181538.90
2005-10-01,189183.00
2005-11-01,194794.50
2005-12-01,198480.00
2006-01-01,185564.80
2006-02-01,178482.20
2006-03-01,190223.30
2006-04-01,185030.60
2006-05-01,197874.30
2006-06-01,199071.90
2006-07-01,206974.40
2006-08-01,209818.00
2006-09-01,201055.40
2006-10-01,214271.70
2006-11-01,219724.20
2006-12-01,221359.30
2007-01-01,211130.70
2007-02-01,202704.10
2007-03-01,217588.90
2007-04-01,215128.80
2007-05-01,226537.90
2007-06-01,228988.60
2007-07-01,233824.10
2007-08-01,235019.10
2007-09-01,223002.70
