date,selic
1996-01-01,2.58
1996-02-01,2.35
1996-03-01,2.22
1996-04-01,2.07
1996-05-01,2.01
1996-06-01,1.98
1996-07-01,1.93
1996-08-01,1.97
1996-09-01,1.9
1996-10-01,1.86
1996-11-01,1.8
1996-12-01,1.8
1997-01-01,1.73
1997-02-01,1.67
1997-03-01,1.64
1997-04-01,1.66
1997-05-01,1.58
1997-06-01,1.61
1997-07-01,1.6
1997-08-01,1.59
1997-09-01,1.59
1997-10-01,1.67
1997-11-01,3.04
1997-12-01,2.97
1998-01-01,2.67
1998-02-01,2.13
1998-03-01,2.2
1998-04-01,1.71
1998-05-01,1.63
1998-06-01,1.6
1998-07-01,1.7
1998-08-01,1.48
1998-09-01,2.49
1998-10-01,2.94
1998-11-01,2.63
1998-12-01,2.4
1999-01-01,2.18
1999-02-01,2.38
1999-03-01,3.33
1999-04-01,2.35
1999-05-01,2.02
1999-06-01,1.67
1999-07-01,1.66
1999-08-01,1.57
1999-09-01,1.49
1999-10-01,1.38
1999-11-01,1.39
1999-12-01,1.6
2000-01-01,1.46
2000-02-01,1.45
2000-03-01,1.45
2000-04-01,1.3
2000-05-01,1.49
2000-06-01,1.39
2000-07-01,1.31
2000-08-01,1.41
2000-09-01,1.22
2000-10-01,1.29
2000-11-01,1.22
2000-12-01,1.2
2001-01-01,1.27
2001-02-01,1.02
2001-03-01,1.26
2001-04-01,1.19
2001-05-01,1.34
2001-06-01,1.27
2001-07-01,1.5
2001-08-01,1.6
2001-09-01,1.32
2001-10-01,1.53
2001-11-01,1.39
2001-12-01,1.39
2002-01-01,1.53
2002-02-01,1.25
2002-03-01,1.37
2002-04-01,1.48
2002-05-01,1.41
2002-06-01,1.33
2002-07-01,1.54
2002-08-01,1.44
2002-09-01,1.38
2002-10-01,1.65
2002-11-01,1.54
2002-12-01,1.74
2003-01-01,1.97
2003-02-01,1.83
2003-03-01,1.78
2003-04-01,1.87
2003-05-01,1.97
2003-06-01,1.86
2003-07-01,2.08
2003-08-01,1.77
2003-09-01,1.68
2003-10-01,1.64
2003-11-01,1.34
2003-12-01,1.37
2004-01-01,1.27
2004-02-01,1.08
2004-03-01,1.38
2004-04-01,1.18
2004-05-01,1.23
2004-06-01,1.23
2004-07-01,1.29
2004-08-01,1.29
2004-09-01,1.25
2004-10-01,1.21
2004-11-01,1.25
2004-12-01,1.48
2005-01-01,1.38
2005-02-01,1.22
2005-03-01,1.53
2005-04-01,1.41
2005-05-01,1.5
2005-06-01,1.59
2005-07-01,1.51
2005-08-01,1.66
2005-09-01,1.5
2005-10-01,1.41
2005-11-01,1.38
2005-12-01,1.47
2006-01-01,1.43
2006-02-01,1.15
2006-03-01,1.42
2006-04-01,1.08
2006-05-01,1.28
2006-06-01,1.18
2006-07-01,1.17
2006-08-01,1.26
2006-09-01,1.06
2006-10-01,1.09
2006-11-01,1.02
2006-12-01,0.99
2007-01-01,1.08
2007-02-01,0.87
2007-03-01,1.05
2007-04-01,0.94
2007-05-01,1.03
2007-06-01,0.91
2007-07-01,0.97
2007-08-01,0.99
2007-09-01,0.8
2007-10-01,0.93
2007-11-01,0.84
2007-12-01,0.84
2008-01-01,0.93
2008-02-01,0.8
2008-03-01,0.84
2008-04-01,0.9
2008-05-01,0.88
2008-06-01,0.96
2008-07-01,1.07
2008-08-01,1.02
2008-09-01,1.1
2008-10-01,1.18
2008-11-01,1.02
2008-12-01,1.12
2009-01-01,1.05
2009-02-01,0.86
2009-03-01,0.97
2009-04-01,0.84
2009-05-01,0.77
2009-06-01,0.76
2009-07-01,0.79
2009-08-01,0.69
2009-09-01,0.69
2009-10-01,0.69
2009-11-01,0.66
2009-12-01,0.73
2010-01-01,0.66
2010-02-01,0.59
2010-03-01,0.76
2010-04-01,0.67
2010-05-01,0.75
2010-06-01,0.79
2010-07-01,0.86
2010-08-01,0.89
2010-09-01,0.85
2010-10-01,0.81
2010-11-01,0.81
2010-12-01,0.93
2011-01-01,0.86
2011-02-01,0.84
2011-03-01,0.92
2011-04-01,0.84
2011-05-01,0.99
2011-06-01,0.96
2011-07-01,0.97
2011-08-01,1.07
2011-09-01,0.94
2011-10-01,0.88
2011-11-01,0.86
2011-12-01,0.91
2012-01-01,0.89
2012-02-01,0.75
2012-03-01,0.82
2012-04-01,0.71
2012-05-01,0.74
2012-06-01,0.64
2012-07-01,0.68
2012-08-01,0.69
2012-09-01,0.54
2012-10-01,0.61
2012-11-01,0.55
2012-12-01,0.55
2013-01-01,0.6
2013-02-01,0.49
2013-03-01,0.55
2013-04-01,0.61
2013-05-01,0.6
2013-06-01,0.61
2013-07-01,0.72
2013-08-01,0.71
2013-09-01,0.71
2013-10-01,0.81
2013-11-01,0.72
2013-12-01,0.79
2014-01-01,0.85
2014-02-01,0.79
2014-03-01,0.77
2014-04-01,0.82
2014-05-01,0.87
2014-06-01,0.82
2014-07-01,0.95
2014-08-01,0.87
2014-09-01,0.91
2014-10-01,0.95
2014-11-01,0.84
2014-12-01,0.96
2015-01-01,0.94
2015-02-01,0.82
2015-03-01,1.04
2015-04-01,0.95
2015-05-01,0.99
2015-06-01,1.07
2015-07-01,1.18
2015-08-01,1.11
2015-09-01,1.11
2015-10-01,1.11
2015-11-01,1.06
2015-12-01,1.16
2016-01-01,1.06
2016-02-01,1
